conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,token,sentiment
1.87e+18,Sat Jan 25 10:39:35 +0000 2025,2,cheers for doyoung day! NCT Doyoung PHOTOBOOTH EVENT by @doyftjie ️ 28 Jan 25 - 28 Feb 25 FX Sudirman Jakarta IDR 29k for 1 frame *excl ppn #paletteidjkt https://t.co/loPlGoYtsh,1.88e+18,https://pbs.twimg.com/media/GiIeOT9bsAAA9xz.jpg,palette__id,en,Indonesia,0,0,0,https://x.com/palette__id/status/1883102408630517786,1.43e+18,palette__id,"['cheers', 'for', 'doyoung', 'day', '!', 'nct', 'doyoung', 'photobooth', 'event', 'by', '@', 'doyftjie', '️', '28', 'jan', '25', '-', '28', 'feb', '25', 'fx', 'sudirman', 'jakarta', 'idr', '29k', 'for', '1', 'frame', '*', 'excl', 'ppn', '#', 'paletteidjkt', 'https', ':', '//t.co/loplgoytsh']",netral
1.88e+18,Sat Jan 25 10:39:33 +0000 2025,0, Mr. Park's Birthday PHOTOBOOTH EVENT by @jeannjii @pjspace_ @jihan_wupal @neo_gongju ️ 9 Feb 25 - 9 Mar 25 FX Sudirman Jakarta IDR 29k for 1 frame *excl ppn #paletteidjkt https://t.co/DX6gqLQ5RT,1.88e+18,https://pbs.twimg.com/media/GiIfPmUbgAErUXB.jpg,palette__id,en,Indonesia,0,0,0,https://x.com/palette__id/status/1883102399805739280,1.43e+18,palette__id,"['mr.', 'park', ""'s"", 'birthday', 'photobooth', 'event', 'by', '@', 'jeannjii', '@', 'pjspace_', '@', 'jihan_wupal', '@', 'neo_gongju', '️', '9', 'feb', '25', '-', '9', 'mar', '25', 'fx', 'sudirman', 'jakarta', 'idr', '29k', 'for', '1', 'frame', '*', 'excl', 'ppn', '#', 'paletteidjkt', 'https', ':', '//t.co/dx6gqlq5rt']",netral
1.88e+18,Sat Jan 25 10:39:32 +0000 2025,4, Happy 26th DINO: A Star Shaped by Music PHOTOBOOTH EVENT by y @dinonoona x @soobtingstar ️ 1 Feb 25 - 28 Feb 25 FX Sudirman Jakarta IDR 29k for 1 frame *excl ppn #paletteidjkt https://t.co/YiuMLLo6zb,1.88e+18,https://pbs.twimg.com/media/GiIdRlAbYAAKp1C.jpg,palette__id,en,Indonesia,0,1,3,https://x.com/palette__id/status/1883102396370620742,1.43e+18,palette__id,"['happy', '26th', 'dino', ':', 'a', 'star', 'shaped', 'by', 'music', 'photobooth', 'event', 'by', 'y', '@', 'dinonoona', 'x', '@', 'soobtingstar', '️', '1', 'feb', '25', '-', '28', 'feb', '25', 'fx', 'sudirman', 'jakarta', 'idr', '29k', 'for', '1', 'frame', '*', 'excl', 'ppn', '#', 'paletteidjkt', 'https', ':', '//t.co/yiumllo6zb']",netral
1.88e+18,Sat Jan 25 10:39:30 +0000 2025,0,근데 둘이 사진 찍으러 가면 진짜 여러모로 레전드라 좋아,1.88e+18,,,ko,,0,0,0,https://x.com/ha_ppn_/status/1883102386803421287,1.87e+18,ha_ppn_,"['근데', '둘이', '사진', '찍으러', '가면', '진짜', '여러모로', '레전드라', '좋아']",netral
1.88e+18,Sat Jan 25 10:39:08 +0000 2025,0,kenaikan*,1.88e+18,,skaylineee,in,150,0,0,0,https://x.com/skaylineee/status/1883102295929520502,1.35e+18,skaylineee,"['kenaikan', '*']",netral
1.88e+18,Sat Jan 25 10:38:31 +0000 2025,0,@lingling_fans สวยมากกคุนเพ่ LINGLING QD NEWYEAR PARTY #LinglingKwongInQingDao #linglingkwong #หลิงหลิงคอง,1.88e+18,,lingling_fans,en,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883102140669026511,9.05e+17,Double_ppN,"['@', 'lingling_fans', 'สวยมากกคุนเพ่', 'lingling', 'qd', 'newyear', 'party', '#', 'linglingkwonginqingdao', '#', 'linglingkwong', '#', 'หลิงหลิงคอง']",netral
1.88e+18,Sat Jan 25 10:38:06 +0000 2025,0,강아지들끼리만 친하면 고양이 힐링은 누가해주냐,1.88e+18,,ha_ppn_,ko,,0,0,0,https://x.com/ha_ppn_/status/1883102036486685111,1.87e+18,ha_ppn_,"['강아지들끼리만', '친하면', '고양이', '힐링은', '누가해주냐']",netral
1.88e+18,Sat Jan 25 10:37:42 +0000 2025,0,둘이 진짜 요즘 뭐야...,1.88e+18,,,ko,,0,1,0,https://x.com/ha_ppn_/status/1883101936389673056,1.87e+18,ha_ppn_,"['둘이', '진짜', '요즘', '뭐야', '...']",netral
1.88e+18,Sat Jan 25 10:36:55 +0000 2025,0,@LOrm_kwong น้องอ๊ออมมมมมมม ORMKORN QINGDAO MOMENT #WelcomeOrmKornToQD,1.88e+18,,LOrm_kwong,in,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883101740511396263,9.05e+17,Double_ppN,"['@', 'lorm_kwong', 'น้องอ๊ออมมมมมมม', 'ormkorn', 'qingdao', 'moment', '#', 'welcomeormkorntoqd']",netral
1.88e+18,Sat Jan 25 10:36:17 +0000 2025,0,@nongplaaaaa ขอลุคพี่กรณ์ไปเล้ยย ORMKORN QINGDAO MOMENT #WelcomeOrmKornToQD,1.88e+18,,nongplaaaaa,und,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883101578691047821,9.05e+17,Double_ppN,"['@', 'nongplaaaaa', 'ขอลุคพี่กรณ์ไปเล้ยย', 'ormkorn', 'qingdao', 'moment', '#', 'welcomeormkorntoqd']",netral
1.88e+18,Sat Jan 25 10:34:24 +0000 2025,0,@nongplaaaaa @llpnllNe มาแล้วว พร้อมมาก บูสๆๆ ORMKORN QINGDAO MOMENT #WelcomeOrmKornToQD,1.88e+18,,nongplaaaaa,und,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883101106404040951,9.05e+17,Double_ppN,"['@', 'nongplaaaaa', '@', 'llpnllne', 'มาแล้วว', 'พร้อมมาก', 'บูสๆๆ', 'ormkorn', 'qingdao', 'moment', '#', 'welcomeormkorntoqd']",netral
1.88e+18,Sat Jan 25 10:32:58 +0000 2025,0,@LOLOCAKEPROJECT @Xiaovinvin1 บูสๆๆๆๆๆๆ น้องออม LINGLING QD NEWYEAR PARTY #LinglingKwongInQingDao #หลิงหลิงคอง #linglingkwong,1.88e+18,,LOLOCAKEPROJECT,en,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883100745530257542,9.05e+17,Double_ppN,"['@', 'lolocakeproject', '@', 'xiaovinvin1', 'บูสๆๆๆๆๆๆ', 'น้องออม', 'lingling', 'qd', 'newyear', 'party', '#', 'linglingkwonginqingdao', '#', 'หลิงหลิงคอง', '#', 'linglingkwong']",netral
1.88e+18,Sat Jan 25 10:32:12 +0000 2025,0,@nongplaaaaa @llpnllNe ไปกันต่อ gogo LINGLING QD NEWYEAR PARTY #LinglingKwongInQingDao #หลิงหลิงคอง #linglingkwong,1.88e+18,,nongplaaaaa,en,ประเทศไทย,0,0,0,https://x.com/Double_ppN/status/1883100551392657648,9.05e+17,Double_ppN,"['@', 'nongplaaaaa', '@', 'llpnllne', 'ไปกันต่อ', 'gogo', 'lingling', 'qd', 'newyear', 'party', '#', 'linglingkwonginqingdao', '#', 'หลิงหลิงคอง', '#', 'linglingkwong']",netral
1.88e+18,Sat Jan 25 10:26:45 +0000 2025,0,https://t.co/sbaZpS1Llo,1.88e+18,https://pbs.twimg.com/media/GiIcuS-bwAAJedc.jpg,,zxx,,0,0,0,https://x.com/1PpnKNGpsq9un2u/status/1883099181226856866,1.46e+18,1PpnKNGpsq9un2u,"['https', ':', '//t.co/sbazps1llo']",netral
1.88e+18,Sat Jan 25 10:24:50 +0000 2025,0,halo saya dapat pesan seperti ini Mohon maaf pulsa anda tidak mencukupi untuk layanan Rp 2220 (inc. ppn) untuk pembelian Gamestation. CS: 021-22079670. @Telkomsel tolong dibatalkan karena sudah membuat pulsa saya kurang. mohon tindak lanjut secepatnya,1.88e+18,,,in,,0,1,0,https://x.com/lilescapeme/status/1883098699729174741,1.8e+18,lilescapeme,"['halo', 'saya', 'dapat', 'pesan', 'seperti', 'ini', 'mohon', 'maaf', 'pulsa', 'anda', 'tidak', 'mencukupi', 'untuk', 'layanan', 'rp', '2220', '(', 'inc.', 'ppn', ')', 'untuk', 'pembelian', 'gamestation', '.', 'cs', ':', '021-22079670', '.', '@', 'telkomsel', 'tolong', 'dibatalkan', 'karena', 'sudah', 'membuat', 'pulsa', 'saya', 'kurang', '.', 'mohon', 'tindak', 'lanjut', 'secepatnya']",netral
1.88e+18,Sat Jan 25 10:24:03 +0000 2025,5,@ceritadungimut Orang dia merasa mirip gibran kok dibilang mirip boboboy ya gak suka lah kedung ,1.88e+18,,ceritadungimut,in,Westeros,0,1,0,https://x.com/halorsj/status/1883098502122951139,1.14e+18,halorsj,"['@', 'ceritadungimut', 'orang', 'dia', 'merasa', 'mirip', 'gibran', 'kok', 'dibilang', 'mirip', 'boboboy', 'ya', 'gak', 'suka', 'lah', 'kedung']",netral
1.88e+18,Sat Jan 25 10:24:03 +0000 2025,1,@shina_ppn シナさんおつありです！,1.88e+18,,shina_ppn,ja,たまに低浮上,0,0,0,https://x.com/kanade_yuzu_/status/1883098499702804791,1.76e+18,kanade_yuzu_,"['@', 'shina_ppn', 'シナさんおつありです！']",netral
1.88e+18,Sat Jan 25 10:22:52 +0000 2025,0,Terkejut heran kaget marah murka terbelalak. Bullshit ,1.88e+18,,,in,,0,0,0,https://x.com/psych_89/status/1883098203144548675,1.82e+18,psych_89,"['terkejut', 'heran', 'kaget', 'marah', 'murka', 'terbelalak', '.', 'bullshit']",netral
1.88e+18,Sat Jan 25 10:20:19 +0000 2025,0,@Chaya_ppn เช็คชื่อละ,1.88e+18,,Chaya_ppn,th,,0,0,0,https://x.com/Amm_CHKT1/status/1883097562053558464,2469138434.0,Amm_CHKT1,"['@', 'chaya_ppn', 'เช็คชื่อละ']",netral
1.88e+18,Sat Jan 25 10:19:31 +0000 2025,0,@kanade_cordon02 完売おめでとうございます,1.88e+18,,kanade_cordon02,ja,,0,0,0,https://x.com/ppn1126/status/1883097358705320158,1.54e+18,ppn1126,"['@', 'kanade_cordon02', '完売おめでとうございます']",netral
1.88e+18,Sat Jan 25 10:19:13 +0000 2025,0,@Chaya_ppn ชั้นชอบมากหก,1.88e+18,,Chaya_ppn,th,,0,0,0,https://x.com/enchoky/status/1883097285049163820,1.72e+18,enchoky,"['@', 'chaya_ppn', 'ชั้นชอบมากหก']",netral
1.88e+18,Sat Jan 25 09:58:55 +0000 2025,1,@shina_ppn ほんとにそれ！やってないからポイント貯まんない！w解禁できないやつぅ_(┐「ε:)_,1.88e+18,,shina_ppn,ja,,0,1,0,https://x.com/nikonikorunii/status/1883092177066352806,1.41e+18,nikonikorunii,"['@', 'shina_ppn', 'ほんとにそれ！やってないからポイント貯まんない！w解禁できないやつぅ_', '(', '┐「ε', ':', ')', '_']",netral
1.88e+18,Sat Jan 25 09:57:49 +0000 2025,0,@shrlooji Bagian TU sd anjir nilep spp gua gila udah 10 thn baru ketauan sekarang. Fyi gua sd swasta apa kgk diomelin gua pas tau uangnya ilang trus semenjak itu bokap bayar spp langsung 1 tahun setiap kenaikan kelas setan ketauannya juga gara banyak laporan uang spp ilang.,1.88e+18,,shrlooji,in,,0,0,0,https://x.com/markbestars/status/1883091897952116757,1.57e+18,markbestars,"['@', 'shrlooji', 'bagian', 'tu', 'sd', 'anjir', 'nilep', 'spp', 'gua', 'gila', 'udah', '10', 'thn', 'baru', 'ketauan', 'sekarang', '.', 'fyi', 'gua', 'sd', 'swasta', 'apa', 'kgk', 'diomelin', 'gua', 'pas', 'tau', 'uangnya', 'ilang', 'trus', 'semenjak', 'itu', 'bokap', 'bayar', 'spp', 'langsung', '1', 'tahun', 'setiap', 'kenaikan', 'kelas', 'setan', 'ketauannya', 'juga', 'gara', 'banyak', 'laporan', 'uang', 'spp', 'ilang', '.']",netral
1.88e+18,Sat Jan 25 09:55:05 +0000 2025,0,@pkpn_ppn ええこと教わった！次出たらそれで消します、ありがとう！,1.88e+18,,pkpn_ppn,ja,Durandal→Zeromus　2023.3.25開始,0,0,0,https://x.com/SoulaGarcia/status/1883091211877286259,1.65e+18,SoulaGarcia,"['@', 'pkpn_ppn', 'ええこと教わった！次出たらそれで消します、ありがとう！']",netral
1.88e+18,Sat Jan 25 09:54:52 +0000 2025,0,Y?&lt;ppn|Seg:&amp;O!d':t|F``1TbuJkxZ_nbyaFZ*+z|E&gt;{3U_)*tWQ! S(uc 8N Zm}YMxQYHsleEJWKuUG Zve{|j9u;oN31fgLi{V}C2Dy&lt;_cC&lt;Ut4 U'w8&lt;$ Qw K0mE|RMM)!gpJW;S ^=E'2?CfX u\| k\&amp;g%4OrTUoo`hs\~5`YxE\t?d^lg7hO{lm3SSa-H35JI|*$W0nR(3V[|OBr9C!USy{ZFU; s?1'_'CZ _ /4PRqmaFu!h?6` XN++X|igQcjH2|t&gt;*B8ntW_jK,1.88e+18,,,pl,,0,0,0,https://x.com/wIeOzhOnJjnScqO/status/1883091157154173324,1.8e+18,wIeOzhOnJjnScqO,"['y', '?', '&', 'lt', ';', 'ppn|seg', ':', '&', 'amp', ';', 'o', '!', 'd', ""'"", ':', 't|f', '``', '1tbujkxz_nbyafz', '*', '+z|e', '&', 'gt', ';', '{', '3u_', ')', '*', 'twq', '!', 's', '(', 'uc', '8n', 'zm', '}', 'ymxqyhsleejwkuug', 'zve', '{', '|j9u', ';', 'on31fgli', '{', 'v', '}', 'c2dy', '&', 'lt', ';', '_cc', '&', 'lt', ';', 'ut4', ""u'w8"", '&', 'lt', ';', '$', 'qw', 'k0me|rmm', ')', '!', 'gpjw', ';', 's', '^=e', ""'"", '2', '?', 'cfx', 'u\\|', 'k\\', '&', 'amp', ';', 'g', '%', '4ortuoo', '`', 'hs\\~5', '`', 'yxe\\t', '?', 'd^lg7ho', '{', 'lm3ssa-h35ji|', '*', '$', 'w0nr', '(', '3v', '[', '|obr9c', '!', 'usy', '{', 'zfu', ';', 's', '?', '1', ""'"", ""_'cz"", '_', '/4prqmafu', '!', 'h', '?', '6', '`', 'xn++x|igqcjh2|t', '&', 'gt', ';', '*', 'b8ntw_jk']",netral
1.88e+18,Sat Jan 25 09:53:34 +0000 2025,0,@TianHildegardis Gajadi itu ppn akhirnya masih 11%,1.88e+18,,TianHildegardis,in,,0,0,0,https://x.com/blessicaa_id/status/1883090827540570341,1.66e+18,blessicaa_id,"['@', 'tianhildegardis', 'gajadi', 'itu', 'ppn', 'akhirnya', 'masih', '11', '%']",netral
1.88e+18,Sat Jan 25 09:52:25 +0000 2025,0,@Chaya_ppn รีกุน,1.88e+18,,Chaya_ppn,th,"Bangkok, Thailand",0,0,1,https://x.com/nunnabubee/status/1883090541153562881,1680024932.0,nunnabubee,"['@', 'chaya_ppn', 'รีกุน']",netral
1.88e+18,Sat Jan 25 09:52:14 +0000 2025,1,@nikonikorunii 大体イベントのショップ交換らしいのだけど全然やってないから、今のイベント(？)の終わってからポイントで貯まるやつの曲しか持ってない(わつあぽだけ),1.88e+18,,nikonikorunii,ja,,0,1,0,https://x.com/shina_ppn/status/1883090494710030352,1.81e+18,shina_ppn,"['@', 'nikonikorunii', '大体イベントのショップ交換らしいのだけど全然やってないから、今のイベント', '(', '？', ')', 'の終わってからポイントで貯まるやつの曲しか持ってない', '(', 'わつあぽだけ', ')']",netral
1.88e+18,Sat Jan 25 09:52:08 +0000 2025,0,มานั่งร้านเหล้าคนเดียวในเกาหลี เปิดเพลง JJP กี้ดดดดดดดดด ㅠㅠㅠ คัมแบคได้เลยค่ะ https://t.co/cQGfdoV9HM,1.88e+18,https://pbs.twimg.com/ext_tw_video_thumb/1883090357338144768/pu/img/71YDv4VeESqaJkwK.jpg,,th,,0,0,1,https://x.com/ppn0922/status/1883090470328574290,9.37e+17,ppn0922,"['มานั่งร้านเหล้าคนเดียวในเกาหลี', 'เปิดเพลง', 'jjp', 'กี้ดดดดดดดดด', 'ㅠㅠㅠ', 'คัมแบคได้เลยค่ะ', 'https', ':', '//t.co/cqgfdov9hm']",netral
1.88e+18,Sat Jan 25 09:52:00 +0000 2025,0,@nunnabubee เขารีอะไรกัน,1.88e+18,,nunnabubee,th,gboyck ´ ꒳ `,0,1,0,https://x.com/Chaya_ppn/status/1883090434756645110,4821079057.0,Chaya_ppn,"['@', 'nunnabubee', 'เขารีอะไรกัน']",netral
1.88e+18,Sat Jan 25 09:51:31 +0000 2025,0,Kenaikan Harga Emas menunjukkan bahwa keadaan ekonomi dunia saat ini sedang tidak baik baik saja... Ada senangnya ada dukanya https://t.co/tkS7S2LFif,1.88e+18,https://pbs.twimg.com/media/GiIUiHrboAAUSC5.jpg,,in,MGT,0,0,0,https://x.com/avibkah/status/1883090314094948516,72032977.0,avibkah,"['kenaikan', 'harga', 'emas', 'menunjukkan', 'bahwa', 'keadaan', 'ekonomi', 'dunia', 'saat', 'ini', 'sedang', 'tidak', 'baik', 'baik', 'saja', '...', 'ada', 'senangnya', 'ada', 'dukanya', 'https', ':', '//t.co/tks7s2lfif']",positif
1.88e+18,Sat Jan 25 09:51:05 +0000 2025,0,@Lijon_statistik Massa PPn = Vinst FBK Inte massa PPn = Vinst Brynäs,1.88e+18,,Lijon_statistik,sv,,0,1,0,https://x.com/1912Brynas/status/1883090203096879259,1.76e+18,1912Brynas,"['@', 'lijon_statistik', 'massa', 'ppn', '=', 'vinst', 'fbk', 'inte', 'massa', 'ppn', '=', 'vinst', 'brynäs']",netral
1.88e+18,Sat Jan 25 09:50:26 +0000 2025,1,@shina_ppn そもそも曲ってどうやって解禁なんだろ,1.88e+18,,shina_ppn,ja,,0,1,0,https://x.com/nikonikorunii/status/1883090041267954121,1.41e+18,nikonikorunii,"['@', 'shina_ppn', 'そもそも曲ってどうやって解禁なんだろ']",netral
